TimeStamp,,,,TimeStamp,,Specification,Values_0,Unit,TimeStamp_30,,Values_30
16:11:44.489 -> Flow rate: 66.67 L/m,,,,11:44.5,->,Flow rate:,66.67,L/m,00:45.0,,61.67
16:11:44.583 -> Flow rate: 66.67 L/m,,,,11:44.6,->,Flow rate:,66.67,L/m,00:45.1,,61.67
16:11:44.661 -> Flow rate: 66.67 L/m,,,,11:44.7,->,Flow rate:,66.67,L/m,00:45.2,,61.67
16:11:44.802 -> Flow rate: 66.67 L/m,,,,11:44.8,->,Flow rate:,66.67,L/m,00:45.3,,61.67
16:11:44.896 -> Flow rate: 66.67 L/m,,,,11:44.9,->,Flow rate:,66.67,L/m,00:45.4,,61.67
16:11:44.992 -> Flow rate: 66.67 L/m,,,,11:45.0,->,Flow rate:,66.67,L/m,00:45.5,,61.67
16:11:45.086 -> Flow rate: 66.67 L/m,,,,11:45.1,->,Flow rate:,66.67,L/m,00:45.6,,61.67
16:11:45.181 -> Flow rate: 58.33 L/m,,,,11:45.2,->,Flow rate:,58.33,L/m,00:45.7,,53.33
16:11:45.277 -> Flow rate: 66.67 L/m,,,,11:45.3,->,Flow rate:,66.67,L/m,00:45.8,,61.67
16:11:45.372 -> Flow rate: 58.33 L/m,,,,11:45.4,->,Flow rate:,58.33,L/m,00:45.9,,53.33
16:11:45.465 -> Flow rate: 58.33 L/m,,,,11:45.5,->,Flow rate:,58.33,L/m,00:46.0,,53.33
16:11:45.606 -> Flow rate: 58.33 L/m,,,,11:45.6,->,Flow rate:,58.33,L/m,00:46.1,,53.33
16:11:45.701 -> Flow rate: 66.67 L/m,,,,11:45.7,->,Flow rate:,66.67,L/m,00:46.2,,61.67
16:11:45.796 -> Flow rate: 58.33 L/m,,,,11:45.8,->,Flow rate:,58.33,L/m,00:46.3,,53.33
16:11:45.891 -> Flow rate: 66.67 L/m,,,,11:45.9,->,Flow rate:,66.67,L/m,00:46.4,,61.67
16:11:45.970 -> Flow rate: 58.33 L/m,,,,11:46.0,->,Flow rate:,58.33,L/m,00:46.5,,53.33
16:11:46.111 -> Flow rate: 66.67 L/m,,,,11:46.1,->,Flow rate:,66.67,L/m,00:46.6,,61.67
16:11:46.205 -> Flow rate: 66.67 L/m,,,,11:46.2,->,Flow rate:,66.67,L/m,00:46.7,,61.67
16:11:46.299 -> Flow rate: 66.67 L/m,,,,11:46.3,->,Flow rate:,66.67,L/m,00:46.8,,61.67
16:11:46.392 -> Flow rate: 66.67 L/m,,,,11:46.4,->,Flow rate:,66.67,L/m,00:46.9,,61.67
16:11:46.486 -> Flow rate: 66.67 L/m,,,,11:46.5,->,Flow rate:,66.67,L/m,00:47.0,,61.67
16:11:46.580 -> Flow rate: 66.67 L/m,,,,11:46.6,->,Flow rate:,66.67,L/m,00:47.1,,61.67
16:11:46.674 -> Flow rate: 66.67 L/m,,,,11:46.7,->,Flow rate:,66.67,L/m,00:47.2,,61.67
16:11:46.769 -> Flow rate: 58.33 L/m,,,,11:46.8,->,Flow rate:,58.33,L/m,00:47.3,,53.33
16:11:46.911 -> Flow rate: 66.67 L/m,,,,11:46.9,->,Flow rate:,66.67,L/m,00:47.4,,61.67
16:11:47.005 -> Flow rate: 66.67 L/m,,,,11:47.0,->,Flow rate:,66.67,L/m,00:47.5,,61.67
16:11:47.100 -> Flow rate: 66.67 L/m,,,,11:47.1,->,Flow rate:,66.67,L/m,00:47.6,,61.67
16:11:47.195 -> Flow rate: 66.67 L/m,,,,11:47.2,->,Flow rate:,66.67,L/m,00:47.7,,61.67
16:11:47.289 -> Flow rate: 66.67 L/m,,,,11:47.3,->,Flow rate:,66.67,L/m,00:47.8,,61.67
16:11:47.385 -> Flow rate: 58.33 L/m,,,,11:47.4,->,Flow rate:,58.33,L/m,00:47.9,,53.33
16:11:47.478 -> Flow rate: 66.67 L/m,,,,11:47.5,->,Flow rate:,66.67,L/m,00:48.0,,61.67
16:11:47.572 -> Flow rate: 66.67 L/m,,,,11:47.6,->,Flow rate:,66.67,L/m,00:48.1,,61.67
16:11:47.666 -> Flow rate: 66.67 L/m,,,,11:47.7,->,Flow rate:,66.67,L/m,00:48.2,,61.67
16:11:47.808 -> Flow rate: 66.67 L/m,,,,11:47.8,->,Flow rate:,66.67,L/m,00:48.3,,61.67
16:11:47.901 -> Flow rate: 66.67 L/m,,,,11:47.9,->,Flow rate:,66.67,L/m,00:48.4,,61.67
16:11:47.996 -> Flow rate: 66.67 L/m,,,,11:48.0,->,Flow rate:,66.67,L/m,00:48.5,,61.67
16:11:48.076 -> Flow rate: 66.67 L/m,,,,11:48.1,->,Flow rate:,66.67,L/m,00:48.6,,61.67
16:11:48.171 -> Flow rate: 66.67 L/m,,,,11:48.2,->,Flow rate:,66.67,L/m,00:48.7,,61.67
16:11:48.266 -> Flow rate: 66.67 L/m,,,,11:48.3,->,Flow rate:,66.67,L/m,00:48.8,,61.67
16:11:48.409 -> Flow rate: 66.67 L/m,,,,11:48.4,->,Flow rate:,66.67,L/m,00:48.9,,61.67
16:11:48.487 -> Flow rate: 58.33 L/m,,,,11:48.5,->,Flow rate:,58.33,L/m,00:49.0,,53.33
16:11:48.582 -> Flow rate: 66.67 L/m,,,,11:48.6,->,Flow rate:,66.67,L/m,00:49.1,,61.67
16:11:48.661 -> Flow rate: 66.67 L/m,,,,11:48.7,->,Flow rate:,66.67,L/m,00:49.2,,61.67
16:11:48.804 -> Flow rate: 66.67 L/m,,,,11:48.8,->,Flow rate:,66.67,L/m,00:49.3,,61.67
16:11:48.898 -> Flow rate: 66.67 L/m,,,,11:48.9,->,Flow rate:,66.67,L/m,00:49.4,,61.67
16:11:48.978 -> Flow rate: 58.33 L/m,,,,11:49.0,->,Flow rate:,58.33,L/m,00:49.5,,53.33
16:11:49.105 -> Flow rate: 66.67 L/m,,,,11:49.1,->,Flow rate:,66.67,L/m,00:49.6,,61.67
16:11:49.200 -> Flow rate: 58.33 L/m,,,,11:49.2,->,Flow rate:,58.33,L/m,00:49.7,,53.33
16:11:49.293 -> Flow rate: 58.33 L/m,,,,11:49.3,->,Flow rate:,58.33,L/m,00:49.8,,53.33
16:11:49.389 -> Flow rate: 58.33 L/m,,,,11:49.4,->,Flow rate:,58.33,L/m,00:49.9,,53.33
16:11:49.484 -> Flow rate: 50.00 L/m,,,,11:49.5,->,Flow rate:,50,L/m,00:50.0,,45
16:11:49.611 -> Flow rate: 58.33 L/m,,,,11:49.6,->,Flow rate:,58.33,L/m,00:50.1,,53.33
16:11:49.706 -> Flow rate: 58.33 L/m,,,,11:49.7,->,Flow rate:,58.33,L/m,00:50.2,,53.33
16:11:49.801 -> Flow rate: 50.00 L/m,,,,11:49.8,->,Flow rate:,50,L/m,00:50.3,,45
16:11:49.896 -> Flow rate: 66.67 L/m,,,,11:49.9,->,Flow rate:,66.67,L/m,00:50.4,,61.67
16:11:49.976 -> Flow rate: 58.33 L/m,,,,11:50.0,->,Flow rate:,58.33,L/m,00:50.5,,53.33
16:11:50.070 -> Flow rate: 58.33 L/m,,,,11:50.1,->,Flow rate:,58.33,L/m,00:50.6,,53.33
16:11:50.165 -> Flow rate: 66.67 L/m,,,,11:50.2,->,Flow rate:,66.67,L/m,00:50.7,,61.67
16:11:50.307 -> Flow rate: 58.33 L/m,,,,11:50.3,->,Flow rate:,58.33,L/m,00:50.8,,53.33
16:11:50.401 -> Flow rate: 66.67 L/m,,,,11:50.4,->,Flow rate:,66.67,L/m,00:50.9,,61.67
16:11:50.497 -> Flow rate: 66.67 L/m,,,,11:50.5,->,Flow rate:,66.67,L/m,00:51.0,,61.67
16:11:50.591 -> Flow rate: 66.67 L/m,,,,11:50.6,->,Flow rate:,66.67,L/m,00:51.1,,61.67
16:11:50.686 -> Flow rate: 66.67 L/m,,,,11:50.7,->,Flow rate:,66.67,L/m,00:51.2,,61.67
16:11:50.765 -> Flow rate: 58.33 L/m,,,,11:50.8,->,Flow rate:,58.33,L/m,00:51.3,,53.33
16:11:50.906 -> Flow rate: 66.67 L/m,,,,11:50.9,->,Flow rate:,66.67,L/m,00:51.4,,61.67
16:11:51.001 -> Flow rate: 66.67 L/m,,,,11:51.0,->,Flow rate:,66.67,L/m,00:51.5,,61.67
16:11:51.096 -> Flow rate: 66.67 L/m,,,,11:51.1,->,Flow rate:,66.67,L/m,00:51.6,,61.67
16:11:51.191 -> Flow rate: 66.67 L/m,,,,11:51.2,->,Flow rate:,66.67,L/m,00:51.7,,61.67
16:11:51.287 -> Flow rate: 66.67 L/m,,,,11:51.3,->,Flow rate:,66.67,L/m,00:51.8,,61.67
16:11:51.382 -> Flow rate: 66.67 L/m,,,,11:51.4,->,Flow rate:,66.67,L/m,00:51.9,,61.67
16:11:51.476 -> Flow rate: 66.67 L/m,,,,11:51.5,->,Flow rate:,66.67,L/m,00:52.0,,61.67
16:11:51.571 -> Flow rate: 58.33 L/m,,,,11:51.6,->,Flow rate:,58.33,L/m,00:52.1,,53.33
16:11:51.666 -> Flow rate: 66.67 L/m,,,,11:51.7,->,Flow rate:,66.67,L/m,00:52.2,,61.67
16:11:51.809 -> Flow rate: 66.67 L/m,,,,11:51.8,->,Flow rate:,66.67,L/m,00:52.3,,61.67
16:11:51.903 -> Flow rate: 66.67 L/m,,,,11:51.9,->,Flow rate:,66.67,L/m,00:52.4,,61.67
16:11:51.998 -> Flow rate: 66.67 L/m,,,,11:52.0,->,Flow rate:,66.67,L/m,00:52.5,,61.67
16:11:52.093 -> Flow rate: 66.67 L/m,,,,11:52.1,->,Flow rate:,66.67,L/m,00:52.6,,61.67
16:11:52.188 -> Flow rate: 58.33 L/m,,,,11:52.2,->,Flow rate:,58.33,L/m,00:52.7,,53.33
16:11:52.283 -> Flow rate: 66.67 L/m,,,,11:52.3,->,Flow rate:,66.67,L/m,00:52.8,,61.67
16:11:52.378 -> Flow rate: 66.67 L/m,,,,11:52.4,->,Flow rate:,66.67,L/m,00:52.9,,61.67
16:11:52.472 -> Flow rate: 66.67 L/m,,,,11:52.5,->,Flow rate:,66.67,L/m,00:53.0,,61.67
16:11:52.568 -> Flow rate: 66.67 L/m,,,,11:52.6,->,Flow rate:,66.67,L/m,00:53.1,,61.67
16:11:52.710 -> Flow rate: 66.67 L/m,,,,11:52.7,->,Flow rate:,66.67,L/m,00:53.2,,61.67
16:11:52.805 -> Flow rate: 66.67 L/m,,,,11:52.8,->,Flow rate:,66.67,L/m,00:53.3,,61.67
16:11:52.901 -> Flow rate: 58.33 L/m,,,,11:52.9,->,Flow rate:,58.33,L/m,00:53.4,,53.33
16:11:52.996 -> Flow rate: 66.67 L/m,,,,11:53.0,->,Flow rate:,66.67,L/m,00:53.5,,61.67
16:11:53.090 -> Flow rate: 58.33 L/m,,,,11:53.1,->,Flow rate:,58.33,L/m,00:53.6,,53.33
16:11:53.185 -> Flow rate: 66.67 L/m,,,,11:53.2,->,Flow rate:,66.67,L/m,00:53.7,,61.67
16:11:53.280 -> Flow rate: 66.67 L/m,,,,11:53.3,->,Flow rate:,66.67,L/m,00:53.8,,61.67
16:11:53.375 -> Flow rate: 66.67 L/m,,,,11:53.4,->,Flow rate:,66.67,L/m,00:53.9,,61.67
16:11:53.471 -> Flow rate: 58.33 L/m,,,,11:53.5,->,Flow rate:,58.33,L/m,00:54.0,,53.33
16:11:53.566 -> Flow rate: 66.67 L/m,,,,11:53.6,->,Flow rate:,66.67,L/m,00:54.1,,61.67
16:11:53.708 -> Flow rate: 66.67 L/m,,,,11:53.7,->,Flow rate:,66.67,L/m,00:54.2,,61.67
16:11:53.804 -> Flow rate: 66.67 L/m,,,,11:53.8,->,Flow rate:,66.67,L/m,00:54.3,,61.67
16:11:53.899 -> Flow rate: 58.33 L/m,,,,11:53.9,->,Flow rate:,58.33,L/m,00:54.4,,53.33
16:11:53.994 -> Flow rate: 66.67 L/m,,,,11:54.0,->,Flow rate:,66.67,L/m,00:54.5,,61.67
16:11:54.088 -> Flow rate: 66.67 L/m,,,,11:54.1,->,Flow rate:,66.67,L/m,00:54.6,,61.67
16:11:54.183 -> Flow rate: 66.67 L/m,,,,11:54.2,->,Flow rate:,66.67,L/m,00:54.7,,61.67
16:11:54.278 -> Flow rate: 58.33 L/m,,,,11:54.3,->,Flow rate:,58.33,L/m,00:54.8,,53.33
16:11:54.372 -> Flow rate: 66.67 L/m,,,,11:54.4,->,Flow rate:,66.67,L/m,00:54.9,,61.67
16:11:54.467 -> Flow rate: 66.67 L/m,,,,11:54.5,->,Flow rate:,66.67,L/m,00:55.0,,61.67
16:11:54.563 -> Flow rate: 66.67 L/m,,,,11:54.6,->,Flow rate:,66.67,L/m,00:55.1,,61.67
16:11:54.706 -> Flow rate: 66.67 L/m,,,,11:54.7,->,Flow rate:,66.67,L/m,00:55.2,,61.67
16:11:54.801 -> Flow rate: 66.67 L/m,,,,11:54.8,->,Flow rate:,66.67,L/m,00:55.3,,61.67
16:11:54.897 -> Flow rate: 66.67 L/m,,,,11:54.9,->,Flow rate:,66.67,L/m,00:55.4,,61.67
16:11:54.992 -> Flow rate: 66.67 L/m,,,,11:55.0,->,Flow rate:,66.67,L/m,00:55.5,,61.67
16:11:55.087 -> Flow rate: 66.67 L/m,,,,11:55.1,->,Flow rate:,66.67,L/m,00:55.6,,61.67
16:11:55.167 -> Flow rate: 66.67 L/m,,,,11:55.2,->,Flow rate:,66.67,L/m,00:55.7,,61.67
16:11:55.310 -> Flow rate: 66.67 L/m,,,,11:55.3,->,Flow rate:,66.67,L/m,00:55.8,,61.67
16:11:55.405 -> Flow rate: 66.67 L/m,,,,11:55.4,->,Flow rate:,66.67,L/m,00:55.9,,61.67
16:11:55.499 -> Flow rate: 66.67 L/m,,,,11:55.5,->,Flow rate:,66.67,L/m,00:56.0,,61.67
16:11:55.594 -> Flow rate: 66.67 L/m,,,,11:55.6,->,Flow rate:,66.67,L/m,00:56.1,,61.67
16:11:55.688 -> Flow rate: 66.67 L/m,,,,11:55.7,->,Flow rate:,66.67,L/m,00:56.2,,61.67
16:11:55.767 -> Flow rate: 66.67 L/m,,,,11:55.8,->,Flow rate:,66.67,L/m,00:56.3,,61.67
16:11:55.862 -> Flow rate: 66.67 L/m,,,,11:55.9,->,Flow rate:,66.67,L/m,00:56.4,,61.67
16:11:56.005 -> Flow rate: 66.67 L/m,,,,11:56.0,->,Flow rate:,66.67,L/m,00:56.5,,61.67
16:11:56.100 -> Flow rate: 66.67 L/m,,,,11:56.1,->,Flow rate:,66.67,L/m,00:56.6,,61.67
16:11:56.194 -> Flow rate: 66.67 L/m,,,,11:56.2,->,Flow rate:,66.67,L/m,00:56.7,,61.67
16:11:56.289 -> Flow rate: 66.67 L/m,,,,11:56.3,->,Flow rate:,66.67,L/m,00:56.8,,61.67
16:11:56.384 -> Flow rate: 66.67 L/m,,,,11:56.4,->,Flow rate:,66.67,L/m,00:56.9,,61.67
16:11:56.510 -> Flow rate: 58.33 L/m,,,,11:56.5,->,Flow rate:,58.33,L/m,00:57.0,,53.33
16:11:56.590 -> Flow rate: 66.67 L/m,,,,11:56.6,->,Flow rate:,66.67,L/m,00:57.1,,61.67
16:11:56.685 -> Flow rate: 66.67 L/m,,,,11:56.7,->,Flow rate:,66.67,L/m,00:57.2,,61.67
16:11:56.780 -> Flow rate: 58.33 L/m,,,,11:56.8,->,Flow rate:,58.33,L/m,00:57.3,,53.33
16:11:56.875 -> Flow rate: 66.67 L/m,,,,11:56.9,->,Flow rate:,66.67,L/m,00:57.4,,61.67
16:11:56.970 -> Flow rate: 58.33 L/m,,,,11:57.0,->,Flow rate:,58.33,L/m,00:57.5,,53.33
16:11:57.082 -> Flow rate: 66.67 L/m,,,,11:57.1,->,Flow rate:,66.67,L/m,00:57.6,,61.67
16:11:57.162 -> Flow rate: 58.33 L/m,,,,11:57.2,->,Flow rate:,58.33,L/m,00:57.7,,53.33
16:11:57.305 -> Flow rate: 58.33 L/m,,,,11:57.3,->,Flow rate:,58.33,L/m,00:57.8,,53.33
16:11:57.384 -> Flow rate: 58.33 L/m,,,,11:57.4,->,Flow rate:,58.33,L/m,00:57.9,,53.33
16:11:57.511 -> Flow rate: 58.33 L/m,,,,11:57.5,->,Flow rate:,58.33,L/m,00:58.0,,53.33
16:11:57.606 -> Flow rate: 58.33 L/m,,,,11:57.6,->,Flow rate:,58.33,L/m,00:58.1,,53.33
16:11:57.700 -> Flow rate: 58.33 L/m,,,,11:57.7,->,Flow rate:,58.33,L/m,00:58.2,,53.33
16:11:57.795 -> Flow rate: 58.33 L/m,,,,11:57.8,->,Flow rate:,58.33,L/m,00:58.3,,53.33
16:11:57.890 -> Flow rate: 58.33 L/m,,,,11:57.9,->,Flow rate:,58.33,L/m,00:58.4,,53.33
16:11:57.985 -> Flow rate: 58.33 L/m,,,,11:58.0,->,Flow rate:,58.33,L/m,00:58.5,,53.33
16:11:58.085 -> Flow rate: 66.67 L/m,,,,11:58.1,->,Flow rate:,66.67,L/m,00:58.6,,61.67
16:11:58.174 -> Flow rate: 66.67 L/m,,,,11:58.2,->,Flow rate:,66.67,L/m,00:58.7,,61.67
16:11:58.271 -> Flow rate: 66.67 L/m,,,,11:58.3,->,Flow rate:,66.67,L/m,00:58.8,,61.67
16:11:58.364 -> Flow rate: 58.33 L/m,,,,11:58.4,->,Flow rate:,58.33,L/m,00:58.9,,53.33
16:11:58.469 -> Flow rate: 66.67 L/m,,,,11:58.5,->,Flow rate:,66.67,L/m,00:59.0,,61.67
16:11:58.603 -> Flow rate: 66.67 L/m,,,,11:58.6,->,Flow rate:,66.67,L/m,00:59.1,,61.67
16:11:58.698 -> Flow rate: 66.67 L/m,,,,11:58.7,->,Flow rate:,66.67,L/m,00:59.2,,61.67
16:11:58.792 -> Flow rate: 66.67 L/m,,,,11:58.8,->,Flow rate:,66.67,L/m,00:59.3,,61.67
16:11:58.887 -> Flow rate: 66.67 L/m,,,,11:58.9,->,Flow rate:,66.67,L/m,00:59.4,,61.67
16:11:58.983 -> Flow rate: 66.67 L/m,,,,11:59.0,->,Flow rate:,66.67,L/m,00:59.5,,61.67
16:11:59.078 -> Flow rate: 66.67 L/m,,,,11:59.1,->,Flow rate:,66.67,L/m,00:59.6,,61.67
16:11:59.173 -> Flow rate: 66.67 L/m,,,,11:59.2,->,Flow rate:,66.67,L/m,00:59.7,,61.67
16:11:59.268 -> Flow rate: 66.67 L/m,,,,11:59.3,->,Flow rate:,66.67,L/m,00:59.8,,61.67
16:11:59.410 -> Flow rate: 66.67 L/m,,,,11:59.4,->,Flow rate:,66.67,L/m,00:59.9,,61.67
16:11:59.505 -> Flow rate: 66.67 L/m,,,,11:59.5,->,Flow rate:,66.67,L/m,01:00.0,,61.67
16:11:59.600 -> Flow rate: 58.33 L/m,,,,11:59.6,->,Flow rate:,58.33,L/m,01:00.1,,53.33
16:11:59.679 -> Flow rate: 66.67 L/m,,,,11:59.7,->,Flow rate:,66.67,L/m,01:00.2,,61.67
16:11:59.774 -> Flow rate: 66.67 L/m,,,,11:59.8,->,Flow rate:,66.67,L/m,01:00.3,,61.67
16:11:59.869 -> Flow rate: 66.67 L/m,,,,11:59.9,->,Flow rate:,66.67,L/m,01:00.4,,61.67
16:11:59.996 -> Flow rate: 66.67 L/m,,,,12:00.0,->,Flow rate:,66.67,L/m,01:00.5,,61.67
16:12:00.092 -> Flow rate: 66.67 L/m,,,,12:00.1,->,Flow rate:,66.67,L/m,01:00.6,,61.67
16:12:00.186 -> Flow rate: 66.67 L/m,,,,12:00.2,->,Flow rate:,66.67,L/m,01:00.7,,61.67
16:12:00.282 -> Flow rate: 66.67 L/m,,,,12:00.3,->,Flow rate:,66.67,L/m,01:00.8,,61.67
16:12:00.376 -> Flow rate: 58.33 L/m,,,,12:00.4,->,Flow rate:,58.33,L/m,01:00.9,,53.33
16:12:00.470 -> Flow rate: 66.67 L/m,,,,12:00.5,->,Flow rate:,66.67,L/m,01:01.0,,61.67
16:12:00.563 -> Flow rate: 58.33 L/m,,,,12:00.6,->,Flow rate:,58.33,L/m,01:01.1,,53.33
16:12:00.704 -> Flow rate: 66.67 L/m,,,,12:00.7,->,Flow rate:,66.67,L/m,01:01.2,,61.67
16:12:00.798 -> Flow rate: 58.33 L/m,,,,12:00.8,->,Flow rate:,58.33,L/m,01:01.3,,53.33
16:12:00.892 -> Flow rate: 58.33 L/m,,,,12:00.9,->,Flow rate:,58.33,L/m,01:01.4,,53.33
16:12:00.985 -> Flow rate: 58.33 L/m,,,,12:01.0,->,Flow rate:,58.33,L/m,01:01.5,,53.33
16:12:01.079 -> Flow rate: 50.00 L/m,,,,12:01.1,->,Flow rate:,50,L/m,01:01.6,,45
16:12:01.173 -> Flow rate: 58.33 L/m,,,,12:01.2,->,Flow rate:,58.33,L/m,01:01.7,,53.33
16:12:01.266 -> Flow rate: 58.33 L/m,,,,12:01.3,->,Flow rate:,58.33,L/m,01:01.8,,53.33
16:12:01.407 -> Flow rate: 58.33 L/m,,,,12:01.4,->,Flow rate:,58.33,L/m,01:01.9,,53.33
16:12:01.501 -> Flow rate: 66.67 L/m,,,,12:01.5,->,Flow rate:,66.67,L/m,01:02.0,,61.67
16:12:01.595 -> Flow rate: 66.67 L/m,,,,12:01.6,->,Flow rate:,66.67,L/m,01:02.1,,61.67
16:12:01.689 -> Flow rate: 66.67 L/m,,,,12:01.7,->,Flow rate:,66.67,L/m,01:02.2,,61.67
16:12:01.783 -> Flow rate: 66.67 L/m,,,,12:01.8,->,Flow rate:,66.67,L/m,01:02.3,,61.67
16:12:01.880 -> Flow rate: 58.33 L/m,,,,12:01.9,->,Flow rate:,58.33,L/m,01:02.4,,53.33
16:12:01.971 -> Flow rate: 66.67 L/m,,,,12:02.0,->,Flow rate:,66.67,L/m,01:02.5,,61.67
16:12:02.112 -> Flow rate: 66.67 L/m,,,,12:02.1,->,Flow rate:,66.67,L/m,01:02.6,,61.67
16:12:02.205 -> Flow rate: 66.67 L/m,,,,12:02.2,->,Flow rate:,66.67,L/m,01:02.7,,61.67
16:12:02.299 -> Flow rate: 66.67 L/m,,,,12:02.3,->,Flow rate:,66.67,L/m,01:02.8,,61.67
16:12:02.393 -> Flow rate: 58.33 L/m,,,,12:02.4,->,Flow rate:,58.33,L/m,01:02.9,,53.33
16:12:02.487 -> Flow rate: 66.67 L/m,,,,12:02.5,->,Flow rate:,66.67,L/m,01:03.0,,61.67
16:12:02.580 -> Flow rate: 66.67 L/m,,,,12:02.6,->,Flow rate:,66.67,L/m,01:03.1,,61.67
16:12:02.674 -> Flow rate: 58.33 L/m,,,,12:02.7,->,Flow rate:,58.33,L/m,01:03.2,,53.33
16:12:02.768 -> Flow rate: 66.67 L/m,,,,12:02.8,->,Flow rate:,66.67,L/m,01:03.3,,61.67
16:12:02.908 -> Flow rate: 66.67 L/m,,,,12:02.9,->,Flow rate:,66.67,L/m,01:03.4,,61.67
16:12:03.003 -> Flow rate: 58.33 L/m,,,,12:03.0,->,Flow rate:,58.33,L/m,01:03.5,,53.33
16:12:03.096 -> Flow rate: 66.67 L/m,,,,12:03.1,->,Flow rate:,66.67,L/m,01:03.6,,61.67
16:12:03.190 -> Flow rate: 66.67 L/m,,,,12:03.2,->,Flow rate:,66.67,L/m,01:03.7,,61.67
16:12:03.284 -> Flow rate: 66.67 L/m,,,,12:03.3,->,Flow rate:,66.67,L/m,01:03.8,,61.67
16:12:03.378 -> Flow rate: 58.33 L/m,,,,12:03.4,->,Flow rate:,58.33,L/m,01:03.9,,53.33
16:12:03.471 -> Flow rate: 66.67 L/m,,,,12:03.5,->,Flow rate:,66.67,L/m,01:04.0,,61.67
16:12:03.565 -> Flow rate: 58.33 L/m,,,,12:03.6,->,Flow rate:,58.33,L/m,01:04.1,,53.33
16:12:03.706 -> Flow rate: 66.67 L/m,,,,12:03.7,->,Flow rate:,66.67,L/m,01:04.2,,61.67
16:12:03.800 -> Flow rate: 58.33 L/m,,,,12:03.8,->,Flow rate:,58.33,L/m,01:04.3,,53.33
16:12:03.893 -> Flow rate: 66.67 L/m,,,,12:03.9,->,Flow rate:,66.67,L/m,01:04.4,,61.67
16:12:03.987 -> Flow rate: 58.33 L/m,,,,12:04.0,->,Flow rate:,58.33,L/m,01:04.5,,53.33
16:12:04.081 -> Flow rate: 66.67 L/m,,,,12:04.1,->,Flow rate:,66.67,L/m,01:04.6,,61.67
16:12:04.175 -> Flow rate: 66.67 L/m,,,,12:04.2,->,Flow rate:,66.67,L/m,01:04.7,,61.67
16:12:04.269 -> Flow rate: 66.67 L/m,,,,12:04.3,->,Flow rate:,66.67,L/m,01:04.8,,61.67
16:12:04.410 -> Flow rate: 66.67 L/m,,,,12:04.4,->,Flow rate:,66.67,L/m,01:04.9,,61.67
16:12:04.504 -> Flow rate: 66.67 L/m,,,,12:04.5,->,Flow rate:,66.67,L/m,01:05.0,,61.67
16:12:04.597 -> Flow rate: 66.67 L/m,,,,12:04.6,->,Flow rate:,66.67,L/m,01:05.1,,61.67
16:12:04.691 -> Flow rate: 66.67 L/m,,,,12:04.7,->,Flow rate:,66.67,L/m,01:05.2,,61.67
16:12:04.785 -> Flow rate: 66.67 L/m,,,,12:04.8,->,Flow rate:,66.67,L/m,01:05.3,,61.67
16:12:04.879 -> Flow rate: 66.67 L/m,,,,12:04.9,->,Flow rate:,66.67,L/m,01:05.4,,61.67
16:12:04.973 -> Flow rate: 66.67 L/m,,,,12:05.0,->,Flow rate:,66.67,L/m,01:05.5,,61.67
16:12:05.067 -> Flow rate: 66.67 L/m,,,,12:05.1,->,Flow rate:,66.67,L/m,01:05.6,,61.67
16:12:05.208 -> Flow rate: 66.67 L/m,,,,12:05.2,->,Flow rate:,66.67,L/m,01:05.7,,61.67
16:12:05.301 -> Flow rate: 66.67 L/m,,,,12:05.3,->,Flow rate:,66.67,L/m,01:05.8,,61.67
16:12:05.396 -> Flow rate: 66.67 L/m,,,,12:05.4,->,Flow rate:,66.67,L/m,01:05.9,,61.67
16:12:05.489 -> Flow rate: 66.67 L/m,,,,12:05.5,->,Flow rate:,66.67,L/m,01:06.0,,61.67
16:12:05.583 -> Flow rate: 58.33 L/m,,,,12:05.6,->,Flow rate:,58.33,L/m,01:06.1,,53.33
16:12:05.678 -> Flow rate: 66.67 L/m,,,,12:05.7,->,Flow rate:,66.67,L/m,01:06.2,,61.67
16:12:05.772 -> Flow rate: 66.67 L/m,,,,12:05.8,->,Flow rate:,66.67,L/m,01:06.3,,61.67
16:12:05.865 -> Flow rate: 66.67 L/m,,,,12:05.9,->,Flow rate:,66.67,L/m,01:06.4,,61.67
16:12:05.959 -> Flow rate: 66.67 L/m,,,,12:06.0,->,Flow rate:,66.67,L/m,01:06.5,,61.67
16:12:06.100 -> Flow rate: 58.33 L/m,,,,12:06.1,->,Flow rate:,58.33,L/m,01:06.6,,53.33
16:12:06.193 -> Flow rate: 66.67 L/m,,,,12:06.2,->,Flow rate:,66.67,L/m,01:06.7,,61.67
16:12:06.287 -> Flow rate: 66.67 L/m,,,,12:06.3,->,Flow rate:,66.67,L/m,01:06.8,,61.67
16:12:06.381 -> Flow rate: 66.67 L/m,,,,12:06.4,->,Flow rate:,66.67,L/m,01:06.9,,61.67
16:12:06.475 -> Flow rate: 66.67 L/m,,,,12:06.5,->,Flow rate:,66.67,L/m,01:07.0,,61.67
16:12:06.568 -> Flow rate: 66.67 L/m,,,,12:06.6,->,Flow rate:,66.67,L/m,01:07.1,,61.67
16:12:06.709 -> Flow rate: 66.67 L/m,,,,12:06.7,->,Flow rate:,66.67,L/m,01:07.2,,61.67
16:12:06.803 -> Flow rate: 66.67 L/m,,,,12:06.8,->,Flow rate:,66.67,L/m,01:07.3,,61.67
16:12:06.897 -> Flow rate: 66.67 L/m,,,,12:06.9,->,Flow rate:,66.67,L/m,01:07.4,,61.67
